brand,frag_name,size,price,fill_percent,status
None,Queening 100ml $190,100.0,190.0,,None
None,Wulong Cha,50.0,,,None
None,Umbrella,50.0,,,None
None,INITO,90.0,,,None
None,,200.0,,,None
None,[,200.0,,,None
Xerjoff,Alexandria 3 14/15ml $55,15.0,,,None
Xerjoff,Monkey Special 49/50ml $125,50.0,,,None
Creed,Aventus F000558 100ml $180,100.0,,,SOLD
Chanel,Bleu de EDP,150.0,,97.0,SOLD
Tom Ford,Oud Wood 100ml 98% $160 Shipped,100.0,,98.0,None
None,Pana Dora Aqua de Dora 100ml,100.0,,,None
None,Atheer Cambodia 50ml,50.0,,,None
MM,Lorenzo Pazzaglia Summer Hammer 50ml,50.0,,,None
None,Dua Mango Flesh 34ml,34.0,,,None
None,Thameen Carved Oud 50ml,50.0,,,None
None,Lune Feline,100.0,,,None
None,Anthony Marmin Sheikh Al Faransi Attar oil 2.9/3ml,9.0,,,None
None,Al Haramain Attar Al Kaaba 25ml oil,25.0,,,None
None,Ahmed Al Maghribi Black Fume 100ml,100.0,,,None
None,Layton,60.0,,,None
None,Aventus,100.0,,,None
Givenchy,Dahlia Divin EDP Discontinued bottle 75ml,75.0,,,None
None,Maison Alhambra Infini Rose 100ml,100.0,,,None
Lattafa,Tharwah Silver 100ml,100.0,,,None
None,French Avenue Pinnace Black 100ml,100.0,,,None
Afnan,Fire (Patchouli Intense,100.0,,,None
None,I have rarely worn this fragrance. $100 $80 USD,,100.0,,None
None,Aqua3.4oz50%$35,,3.0,50.0,None
None,Ferragamo,,40.0,40.0,None
None,CartierPasha,,75.0,75.0,None
Givenchy,Gentleman,,99.0,99.0,None
Burberry,Weekend3.4 oz60%$20,,60.0,60.0,None
Bvlgari,Man Wood,,85.0,85.0,None
Chanel,Bleu de,,40.0,40.0,None
Armani,Stronger with you3.4 oz90%$35,,90.0,90.0,None
Afnan,9am Dive3.4 oz95%$20,,95.0,95.0,None
Armani,Code Profumo2.0 oz90%$80,,90.0,90.0,None
Tom Ford,Noir Extreme3.4 oz98%$100,,98.0,98.0,None
Tom Ford,Tobacco Vanille w/box30 ml90$100,90.0,90.0,,None
Dior,Sauvage EDT 2.0 oz50%$35,,50.0,50.0,None
Zara,Spell caramel3.4 oz97%$25,,97.0,97.0,None
Initio,Jo MilanoRaees Noire Oud for Greatness3.4 oz98%$35,,98.0,98.0,None
Afnan,Rare ReefLV Pacific Chill3.4 oz98%$25,,98.0,98.0,None
Tom Ford,DuaWhere sun never sets soleil blanc34 ml99%$35,99.0,99.0,99.0,None
None,Khadlaj Le Prestige RoyalThomas Criveli Hibiscus Mahajad3.4 oz98%$20,,98.0,98.0,None
Hermès,Terre d’ EDT – 50ml bottle,50.0,,,None
Mancera,Cedrat Boise – 120ml bottle,120.0,,,None
Jean Paul Gaultier,EDP,200.0,,,None
None,\35ml decanted into a travel sprayer.,35.0,,,None
Frederic Malle,Geranium Pour Monsieur,100.0,,,AVAILABLE
None,Jazeel The Palace,100.0,,,None
Xerjoff,3 Torino 21 50ml. Bottle only. [PICs]( $125,50.0,,,None
None,5 Carven L'Eau Intense 100ml. No box. Sprayed a few times. [PIC]( $40,100.0,,,None
Montale,6 Aoud Lime 100ml. Sealed. This bottle is from 2014. [PIC]( $60,100.0,,,None
None,Rogue Perfumery Absolue de Mousse,30.0,,,None
None,SDV,100.0,,,SOLD
None,Bal D’Afrique Absolu 50mL $255,50.0,,,SOLD
None,Riviera Maya,50.0,,,None
None,EDP,60.0,,,None
None,Le Beau EDT,125.0,,,None
Byredo,Alto Astral 50ml full Pres $150,50.0,,,None
Louis Vuitton,California Dream 200ML,50.0,,75.0,None
None,LV is a bargain as it goes for £260 for 100ML,100.0,,,None
Afnan,Aventus Absolu,100.0,,,None
Valentino,Zimaya Reverie Aqua – EDP 100ml,100.0,,,None
YSL,EDP,90.0,,,None
Tom Ford,Maison Alhambra Opulence Leather – EDP 100ml,100.0,,,None
None,60ml,60.0,,,None
None,Maison Crivelli Ambre,50.0,,,None
None,JPG Scandal Absolu 100ml $70,100.0,,,SOLD
None,D&G Light Blue Italian Love EDT 100ml 45$,100.0,,,SOLD
None,Light Blue Eau Intense,100.0,,,SOLD
YSL,Eau de Parfum Intense,100.0,,,None
Bvlgari,Pour Homme EDT 100ml 70$,100.0,,,None
Gucci,Guilty Black Pour Homme 50ml 60$,50.0,,,None
None,Issey Miyake Le Sel D'issey EDT 100ml 40$,100.0,,,None
Ralph Lauren,) Men's,75.0,,,SOLD
Ralph Lauren,) Men's,125.0,,,SOLD
Bvlgari,Aqva Pour Homme 100ml 85$,100.0,,,SOLD
MM,Issey Miyake Pour Homme EDT 125ml 30$,125.0,,,SOLD
MM,Issey Miyake Pour Homme Intense EDT 125ml 20$,125.0,,,SOLD
Chanel,Allure Homme Sport Superleggera 100ml 150$,100.0,,,SOLD
YSL,Y Le Parfum Yves 100ml 110$,100.0,,,None
PDM,Herod 125ml $120,125.0,,,None
Chanel,BDC Parfum 100ml $50,100.0,,,None
None,Guess Iconic EDP 2025 100ml few sprays missing full pres $45,100.0,,,None
YSL,EDP,100.0,,,None
Armani,Giorgio Acqua di gio 100ml $30,100.0,,,None
None,Ahmed Maghribi Kaaf 100ml $30,100.0,,,None
MM,Vince Camuto Homme 100ml $20,100.0,,,None
Givenchy,Pi 50ml $20,50.0,,,None
None,100mL Around 85% Full,100.0,,85.0,None
None,40/50ml Matsukita no pres: $150,50.0,,,None
None,Alexandria Green Envy 30ml 99% full $30,30.0,,99.0,None
None,Alexandria Visionary 30ml 99% full $30,30.0,,99.0,None
Armaf,,105.0,,99.0,SOLD
None,New Bottles Co.,11.0,,,None
None,Rivera Parfums Aries,30.0,,99.0,None
None,Pur Oud,100.0,,,None
Valentino,Selling Coral Fantasy 100ml,100.0,,,SOLD
None,Absolu,100.0,,,None
None,75mL Full Presentation $50,75.0,,93.33333333333333,None
None,125mL $65,125.0,,96.0,None
None,50mL $180,50.0,,,None
None,50mL $180,50.0,,,None
None,100mL $75,100.0,,,None
None,90mL $115,90.0,,94.44444444444444,None
None,90mL Full Presentation $35,90.0,,94.44444444444444,None
None,50mL $65,50.0,,,None
None,40mL $55,40.0,,62.5,None
None,,9.0,,,None
None,250mls of Another 13 $580,250.0,,,None
None,120mls of Prodigy $330,120.0,,,None
None,Erba Gold 50mL 95% full,50.0,,95.0,None
None,Ocean EDP,100.0,,95.0,None
None,Wanted by Night 100ml 97% full,100.0,,97.0,None
None,Santal,,130.0,98.0,None
By Kilian,Love by kilian special blend 2023 1.7 oz 98% full 170$,,170.0,98.0,None
None,Pivoine Suzhou,,105.0,96.0,None
None,BR 540 extrait 2.4 oz 65% full 140$,,140.0,65.0,None
None,Grand,,145.0,99.0,None
None,Cherry smoke 1 oz 99% full 110$,,110.0,99.0,None
None,Noir de noir 1.7 oz 98% full 130$,,130.0,98.0,None
Creed,carmina 2.5 oz 92% full 160$,,160.0,92.0,None
None,Green Irish tweed 3.4 oz 88% full 145$,,145.0,88.0,None
Creed,aventus 3.4 oz sprayed 3 times 170$,,170.0,,None
None,Aventus,,135.0,95.0,None
None,$105 $100 .,,105.0,,None
None,Untold is a 105ml bottle,105.0,,,None
Xerjoff,Tony Iommy Monkey Special 100ml Tester w/ box $180,100.0,,,None
Valentino,Green Stravaganza 100ml $80,100.0,,,None
Valentino,Uomo Noir Absolu,100.0,,,None
Bvlgari,Man Extreme 100ml $145,100.0,,,None
Armani,,60.0,,,None
Initio,Rehab New Tester 90ml $165,90.0,,,None
Jimmy Choo,Man 100ml $28,100.0,,,None
None,Varvatos XX Artisan,100.0,,,None
Armani,Code 75ml,75.0,,,None
None,$140 $120,,140.0,,None
Creed,Vibrato,100.0,,95.0,None
None,50ml $120,50.0,,,None
Nishane,Hacivat 100ml bottle 99 percent full $130,100.0,,,SOLD
Byredo,Gypsy Water 100ml bottle 99 percent full $125,100.0,,,None
Byredo,Mojave Ghost 100ml bottle 99 percent full $140 Traded,100.0,,,None
None,Interlude 53 100ml $215,100.0,,,None
None,Jubilation 40 100ml $279,100.0,,,None
None,Reflection 100ml $186,100.0,,,None
None,Beach Hut 100ml $239,100.0,,,None
None,Purpose 100ml $170,100.0,,,None
None,Royal Tobacco,100.0,,,None
Amouage,Woods Symphony 100ml $165,100.0,,,None
Armani,Code EDT 100ml No Box $63,100.0,,,None
Armani,Stronger With You Intensely 100ml $85,100.0,,,None
Armani,Stronger With You Absolutely 100ml $90,100.0,,,None
None,Love Triumphs Over War 100ml $175,100.0,,,None
None,Triumph of Bacchus 100ml $199,100.0,,,None
None,Pallas of Athene 100ml $180,100.0,,,None
None,Hard Candy 50ml $220,50.0,,,None
None,Hard Candy 2025 100ml $400,100.0,,,None
None,Hard Candy Elixir 2025 100ml $480,100.0,,,None
None,Amazonia 50ml $200,50.0,,,None
None,Aurora 50ml $185,50.0,,,None
None,Blue Fever 2025 100ml $325,100.0,,,None
None,Notorious 50ml $205,50.0,,,None
None,Bois Eternal 50ml $195,50.0,,,None
None,Onyx 50ml $205,50.0,,,None
None,Onyx air 50ml $205,50.0,,,None
None,Slut 50ml $205,50.0,,,None
None,Slut Elixir 2025 100ml $350,100.0,,,None
None,Supernova 50ml $210,50.0,,,None
None,The Most Wanted Intense EDP 100ml $62,100.0,,,None
None,The Most Wanted Parfum 100ml $70,100.0,,,None
None,Forever Wanted Elixir 100ml $105,100.0,,,None
None,Dubai Gold 100ml Tester w Cap $190,100.0,,,None
None,Lafayette Street 100ml $219,100.0,,,None
None,Lafayette Street 100ml Tester wo Cap $189,100.0,,,None
None,New York Nights 100ml $219,100.0,,,None
None,Scent of Peace Natural 100ml Tester wo Cap $158,100.0,,,None
None,Ardent 100ml $159,100.0,,,None
None,Blue Sapphire 100ml $449,100.0,,,None
None,Nemer 100ml $279,100.0,,,None
None,Man in Black Parfum 100ml $86,100.0,,,None
None,212 VIP Black 200ml No Box $79,200.0,,,None
None,Absolu Aventus 75ml $285,75.0,,,None
None,Himalaya 100ml Tester wo Cap $155,100.0,,,None
None,Millisime Imperial 100ml Tester wo Cap $155,100.0,,,None
None,Original Vetiver 100ml $179,100.0,,,None
None,Original Vetiver 100ml Tester wo Cap $155,100.0,,,None
None,Virgin Island Water 100ml $209,100.0,,,None
None,The One Mysterious Night 100ml $225,100.0,,,None
None,The Mint 50ml $75,50.0,,,None
None,The Rose 50ml $80,50.0,,,None
None,The Incense 50ml $85,50.0,,,None
None,Office for Men 100ml $60,100.0,,,None
None,Date for Men 100ml $60,100.0,,,None
None,Club for Men 100ml $75,100.0,,,None
None,Black Tie for Men 100ml $80,100.0,,,None
None,Most Masculine 100ml $120,100.0,,,None
None,Day for Women 10ml Traveller $25,10.0,,,None
None,Portrait of a Lady 100ml $219,100.0,,,None
None,Portrait of a Lady 100ml No Box $194,100.0,,,None
None,Rose & Cuir 100ml $160,100.0,,,None
None,Carnal Flower 100ml $200,100.0,,,None
None,Vulcan Feu 100ml $45,100.0,,,None
None,Ambree 100ml $97,100.0,,,None
None,Boisee 100ml $75,100.0,,,None
None,Reserve Privee 100ml $84,100.0,,,None
None,Boss Bottled Absolu 50ml $64,50.0,,,None
None,Boss Bottled Bold Citrus 100ml Tester w Cap $70,100.0,,,None
None,Absolute Aphrodisiac 90ml $195,90.0,,,None
None,Atomic Rose 90ml $189,90.0,,,None
None,Hi Frequency 90ml $139,90.0,,,None
None,Hi Frequency 90ml No Cellophane $134,90.0,,,None
None,Hi Frequency 90ml No Box $130,90.0,,,None
None,Musk Therapy 90ml $205,90.0,,,None
None,Greatness,90.0,,,None
None,Greatness Neo,90.0,,,None
None,Psychedelic Love 90ml $165,90.0,,,None
None,Psychedelic Love 90ml Tester w Cap $150,90.0,,,None
None,Paragon 90ml $194,90.0,,,None
None,Powershelf 90ml $205,90.0,,,None
None,Rehab 90ml $189,90.0,,,None
None,Side Effect 90ml $205,90.0,,,None
None,Scandal Le Parfum 200ml No Box Refill $79,200.0,,,None
None,Scandal Le Parfum 100ml No Box $79,100.0,,,None
None,Le Male Elixir 125ml No Box $89,125.0,,,None
None,Le Male Le Parfum 125ml No Box $89,125.0,,,None
None,Le Beau Paradise Garden 125ml No Box $89,125.0,,,None
None,Le Beau Le Parfum 125ml No Box $89,125.0,,,None
None,Le Male Le Parfum 200ml No Box $105,200.0,,,None
None,Angel's Share 250ml $510,250.0,,,None
None,Angel's Share 100ml $265,100.0,,,None
None,Angel's Share 50ml $169,50.0,,,None
None,Old Fashioned 50ml $180,50.0,,,None
None,Irish Leather 75ml $110,75.0,,,None
None,Blockade 100ml $229,100.0,,,None
None,Blockade 100ml Tester w Cap $219,100.0,,,None
None,French Defense 100ml Tester w Cap $219,100.0,,,None
None,Opera Mate 100ml $235,100.0,,,None
None,Lionora 100ml Tester w Cap $219,100.0,,,None
None,Kingside 100ml $325,100.0,,,None
None,Mentor 100ml $325,100.0,,,None
None,Queening 100ml Tester w Cap $209,100.0,,,None
None,Queening 100ml No Box $219,100.0,,,None
None,Arabians Tonka 100ml $95,100.0,,,None
None,Hacivat 100ml $159,100.0,,,None
None,Wulong Cha 100ml $154,100.0,,,None
None,1 Million Parfum 100ml No Box $65,100.0,,,None
None,1 Million Elixir 100ml No Box $75,100.0,,,None
None,Invictus,200.0,,,None
None,Invictus Parfum 100ml No Box $76,100.0,,,None
None,Invictus Victory Extreme 100ml No Box $65,100.0,,,None
None,Invictus Victory Extreme 200ml No Box $85,200.0,,,None
None,Invictus Platinum 100ml No Box $90,100.0,,,None
None,Phantom Intense 200ml No Box Refill $87,200.0,,,None
None,Carlisle 125ml $205,125.0,,,None
None,Castley 125ml $215,125.0,,,None
None,Delina 75ml Tester w Cap $176,75.0,,,None
None,Godolphin 125ml $140,125.0,,,None
None,Godolphin 125ml Tester w Cap $125,125.0,,,None
None,Greenley 125ml $193,125.0,,,None
None,Haltane 125ml $193,125.0,,,None
None,Herod 125ml $175,125.0,,,None
None,Layton 125ml $190,125.0,,,None
None,Oajan 125ml $190,125.0,,,None
None,Percival 125ml $185,125.0,,,None
None,Percival 200ml $240,200.0,,,None
None,Percival 125ml Tester w Cap $170,125.0,,,None
None,Pegasus 125ml $155,125.0,,,None
None,Pegasus 125ml Tester w Cap $150,125.0,,,None
None,Pegasus 200ml $189,200.0,,,None
None,Pegasus Exclusif 125ml $159,125.0,,,None
None,Sedley 125ml $190,125.0,,,None
None,Valaya 75ml Tester w Cap $180,75.0,,,None
None,Valaya Exclusif 75ml $230,75.0,,,None
None,Valaya Exclusif 75ml Tester w Cap $205,75.0,,,None
None,Perseus 125ml $175,125.0,,,None
None,Halfeti 100ml $185,100.0,,,None
None,Halfeti Cedar 100ml $190,100.0,,,None
MM,Amber Pour Homme 100ml No Box $69,100.0,,,None
MM,L'Homme Intense EDP 100ml No Box $84,100.0,,,None
MM,L'Homme Intense EDP 100ml Tester w Cap $84,100.0,,,None
None,Luna Rossa Black 100ml $80,100.0,,,None
None,Luna Rossa Carbon 100ml $76,100.0,,,None
None,Luna Rossa Sport 100ml $76,100.0,,,None
None,Luna Rossa Sport 100ml No Box $69,100.0,,,None
None,Luna Rossa Ocean Le Parfum 100ml $94,100.0,,,None
None,God of Fire 50ml $185,50.0,,,None
None,Mango Kiss 50ml $185,50.0,,,None
None,Noir 100ml $110,100.0,,,None
None,Myrrhe Mystere 100ml $340,100.0,,,None
None,Born in Roma Extradose 100ml $125,100.0,,,None
None,Spicebomb Extreme 90ml $70,90.0,,,None
None,Naxos 100ml $175,100.0,,,None
None,Erba Pura 100ml No Box $144,100.0,,,None
None,Silverlake 100ml $31,100.0,,,None
None,Turathi Blue 90ml $27,90.0,,,None
None,Turathi Electric 90ml $36,90.0,,,None
None,9PM Rebel 100ml $32,100.0,,,None
None,Turathi Purple 90ml $27,90.0,,,None
None,Turathi Electric 90ml $34,90.0,,,None
None,Club De Nuit Precieux Extrait 55ml $50,55.0,,,None
None,Club De Nuit Intense Limited Edition,105.0,,,None
None,Coolwater Intense 125ml $35,125.0,,,None
None,Azzure Aoud 100ml $35,100.0,,,None
None,Habik 100ml $35,100.0,,,None
None,Power Up Fresh EDT Spray 100ml No Box $25,100.0,,,None
None,Desire EDT 30ml No Box $10,30.0,,,None
YSL,MF EDP Travel,10.0,,,None
None,de Parfum,30.0,,99.0,None
Bond No 9,The Scent Of Peace 100ML $135,100.0,,,None
None,Kajal Faris 100ML $69,100.0,,,None
Louis Vuitton,Meteore,30.0,,,None
None,Roja Burlington,100.0,,,None
None,Aaron Terence Hughes Haze 50ML $189,50.0,,,None
None,Aaron Terence Hughes Notorious 45/50ML $189,50.0,,,None
Armani,Code EDP 2024 50ML $49,50.0,,,None
None,Parfums Orange X Santal 100ML,100.0,,,None
None,Parfums Divine Vanille,100.0,,,None
None,Mansa Pernoire 50ML $169,50.0,,,None
None,FragranceOne Date For Men 100ML $55,100.0,,,None
None,Eight & Bob Cap Dantibes 30ML $65,30.0,,,None
None,Versace Dylan Blue 100ml 98% full. $60,100.0,60.0,98.0,None
Gucci,Guilty EDP tester 100ml test sprays only. $75.,100.0,,,None
None,Like title says. See pictures for levels. Both 100ml bottles. $90 for both.,100.0,,,None
